Date,Open,High,Low,Close,Adj Close,Volume
1/2/2014,26960,27100,26040,26180,20025.96289,31025000
1/3/2014,26000,26220,25740,25920,19827.07813,26496600
1/6/2014,26060,26400,25920,26140,19995.36133,19735800
1/7/2014,26000,26360,25900,26080,19949.47266,19763200
1/8/2014,26000,26080,25740,25820,19750.58789,20474650
1/9/2014,26140,26140,25500,25500,19505.80859,21250950
1/10/2014,25500,25720,25440,25440,19459.90625,18189150
1/13/2014,25660,25940,25460,25900,19811.7832,16449350
1/14/2014,25940,26600,25800,26260,20087.16016,14716650
1/15/2014,26600,26620,25960,25980,19872.97266,11747450
1/16/2014,26000,26200,25860,26020,19903.57031,9752450
1/17/2014,26020,26300,25840,25840,19765.88477,12774250
1/20/2014,26100,26380,25920,26320,20133.04688,8682800
1/21/2014,26300,26540,26220,26480,20255.44531,7562300
1/22/2014,26280,26560,26240,26560,20316.64258,10826500
1/23/2014,26320,26440,25980,25980,19872.97266,10336950
1/24/2014,26000,26360,25820,26140,19995.36133,14001750
1/27/2014,25860,26080,25700,25840,19765.88477,13346300
1/28/2014,25460,25860,25460,25660,19628.19531,11701350
1/29/2014,25600,25760,25540,25600,19582.30078,19181850
2/3/2014,25720,25760,25420,25440,19459.90625,16259200
2/4/2014,25260,25260,24980,24980,19108.04102,16033000
2/5/2014,24900,25100,24680,24740,18924.45703,14926650
2/6/2014,24900,25340,24800,25180,19261.02344,15197450
2/7/2014,25500,25580,25260,25500,19505.80859,9943600
2/10/2014,25420,25620,25240,25540,19536.40234,7799650
2/11/2014,25620,26300,25440,26220,20056.56641,12684000
2/12/2014,26620,26620,26100,26140,19995.36133,10027400
2/13/2014,26000,26400,25800,25960,19857.67578,5838450
2/14/2014,25920,26160,25840,26020,19903.57031,6220750
2/17/2014,25840,26120,25600,25700,19658.80273,9386650
2/18/2014,25700,25980,25640,25900,19811.7832,5910650
2/19/2014,26000,26000,25600,25800,19735.28125,6179750
2/20/2014,25800,25920,25620,25720,19674.08984,9543300
2/21/2014,26660,26660,26000,26600,20347.22852,14346200
2/24/2014,26680,26900,26420,26560,20316.64258,7425050
2/25/2014,26640,26800,26520,26680,20408.42383,8785300
2/26/2014,26740,26860,26500,26840,20530.81641,12918050
2/27/2014,26700,26840,26600,26820,20515.51563,7891350
2/28/2014,26740,26980,26640,26980,20637.91016,14232350
3/3/2014,26720,26800,26420,26500,20270.73828,12104150
3/4/2014,26400,26580,26300,26300,20117.75,7900150
3/5/2014,26700,26820,26600,26600,20347.22852,7491500
3/6/2014,26580,26580,26200,26520,20286.03711,8616750
3/7/2014,26780,26780,26580,26780,20484.92188,7548650
3/10/2014,26400,26600,26340,26400,20194.24414,8657600
3/11/2014,26400,26540,26180,26440,20224.8418,9079800
3/12/2014,26400,26400,25860,25880,19796.48438,12579250
3/13/2014,25880,26260,25800,25800,19735.28125,11750200
3/14/2014,25400,25700,25400,25500,19505.80859,10836800
3/17/2014,25500,25520,25160,25320,19368.11914,8820000
3/18/2014,25400,25660,25320,25560,19551.70117,11045600
3/19/2014,25600,25700,25360,25380,19414.01563,7638550
3/20/2014,25400,25440,25240,25240,19306.91992,5939400
3/21/2014,25380,25460,25240,25460,19475.21094,8321300
3/24/2014,25200,25480,25180,25460,19475.21094,7073900
3/25/2014,25380,25400,24820,24940,19077.44336,13625000
3/26/2014,25380,25800,24960,25700,19658.80273,17444700
3/27/2014,25800,26660,25700,26660,20393.13086,20877850
3/28/2014,26400,26760,26400,26700,20423.72461,10648700
3/31/2014,26900,26900,26440,26860,20546.11133,13259850
4/1/2014,26900,26900,26620,26780,20484.92188,11081000
4/2/2014,27000,27140,26860,27140,20760.29883,13100050
4/3/2014,27020,27900,27020,27800,21265.1543,19098800
4/4/2014,27540,27940,27540,27600,21112.16602,18400350
4/7/2014,27940,27940,27480,27940,21372.24414,10761750
